ID_V;ID_P;Zona;UPZ;Calle;Sur;Carrera;Estrato;Zonas_Comunes;Cercania_TM;Valorizacion;Cant_Viv_Proy;Conjunto_Cerrado;Deporte;Acceso_Discapacitados;Fecha_Entrega;Meses_Entrega;Casa_Apartamento;Cuartos;Banos;Parqueaderos;Balcon;Area_Privada;Area_Construida;Precio;Cuota_Inicial;Mens_Cuota_Inicial;Cuota_Credito;Tipo_Apartamento;Nombre_Proyecto;Constructora;Link
89;10005;1;15;127;0;13A;6;3;2;1;2;1;1;1;1/03/2021; 30 ; 1 ;3;4;2;1;136.5;157.8;1246.17;373.8522;2.37; 8.85 ; 3 ;ALBATROSS LA CAROLINA;ENGEL & VOLKERS BOGOTA;http://www.metrocuadrado.com/proyecto/albatross-la-carolina/473-C0001-07
90;10005;1;15;127;0;13A;6;3;2;1;2;1;1;1;1/03/2021; 30 ; 1 ;3;4;2;1;136.5;157.8;1260.06;378.0183;2.40; 8.95 ; 3 ;ALBATROSS LA CAROLINA;ENGEL & VOLKERS BOGOTA;http://www.metrocuadrado.com/proyecto/albatross-la-carolina/473-C0001-07
91;10005;1;15;127;0;13A;6;3;2;1;2;1;1;1;1/03/2021; 30 ; 1 ;3;4;2;1;136.5;157.8;1284.94;385.482;2.44; 9.12 ; 3 ;ALBATROSS LA CAROLINA;ENGEL & VOLKERS BOGOTA;http://www.metrocuadrado.com/proyecto/albatross-la-carolina/473-C0001-07
92;10005;1;15;127;0;13A;6;3;2;1;2;1;1;1;1/03/2021; 30 ; 1 ;3;4;2;1;136.5;157.8;1208.51;362.5539;2.30; 8.58 ; 3 ;ALBATROSS LA CAROLINA;ENGEL & VOLKERS BOGOTA;http://www.metrocuadrado.com/proyecto/albatross-la-carolina/473-C0001-07
93;60002;6;58;78;1;1B;2;3;2;1;3;1;6;1;1/03/2021; 30 ; 1 ;3;1;0;1;43.19;47.6;89.95;26.985;0.57; 0.64 ; 1 ;ZASCA;INGENAL ARQUITECTURA Y CONSTRUCCION;http://www.metrocuadrado.com/proyecto/zasca/5244-C0006-02
94;60002;6;58;78;1;1B;2;3;2;1;3;1;6;1;1/03/2021; 30 ; 1 ;3;1;0;1;46.7;48.7;90.95;27.285;0.56; 0.65 ; 1A ;ZASCA;INGENAL ARQUITECTURA Y CONSTRUCCION;http://www.metrocuadrado.com/proyecto/zasca/5244-C0006-02
95;10006;1;16;103;0;14A;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;3;3;2;1;105.74;115.3;895.92;268.7754354;2.33; 6.36 ; A 212 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
96;10006;1;16;103;0;15a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;2;2;2;1;81.95;86.87;693.50;208.0499394;2.39; 4.92 ; B 208 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
97;10006;1;16;103;0;16a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;3;3;2;1;107.8;107.8;836.76;251.0267895;2.33; 5.94 ; C 207 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
98;10006;1;16;103;0;17a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;2;2;1;1;71.32;75.75;566.90;170.0712507;2.25; 4.02 ; D 205 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
99;10006;1;16;103;0;18a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;2;2;1;1;71.07;75.21;563.14;168.9405351;2.25; 4.00 ; E 204 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
100;10006;1;16;103;0;19a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;1;2;1;1;75.21;71.07;499.49;149.8455;2.11; 3.55 ; F 203 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
101;10006;1;16;103;0;20a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;1;2;1;1;69.29;63.2;502.95;150.8849061;2.39; 3.57 ; G 202 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
102;10006;1;16;103;0;21a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;1;2;1;1;62.66;67.38;496.47;148.9400655;2.21; 3.52 ; H 301 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
103;10006;1;16;103;0;22a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;2;2;2;1;86.87;81.95;710.97;213.2909004;2.60; 5.05 ; B 408 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
104;10006;1;16;103;0;23a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;1;2;1;1;62.66;67.38;517.00;155.1006753;2.30; 3.67 ; H 501 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
105;10006;1;16;103;0;24a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;2;2;1;1;67.69;63.02;518.55;155.5643973;2.47; 3.68 ; I 516 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
106;10006;1;16;103;0;25a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;1;2;1;1;58.36;67.36;524.45;157.3358154;2.34; 3.72 ; F 603 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
107;10006;1;16;103;0;26a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;3;3;2;1;101.51;107.8;885.00;265.5;2.46; 6.28 ; C 707 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
108;10006;1;16;103;0;27a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;3;3;2;1;101.51;107.8;905.91;271.7724015;2.52; 6.43 ; C 807 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
109;10006;1;16;103;0;28a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;2;2;1;1;71.07;75.75;574.52;172.3551132;2.28; 4.08 ; D 306 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
110;10006;1;16;103;0;29a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;3;3;2;1;105.74;115.3;919.16;275.7469254;2.39; 6.53 ; A 412 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
111;10006;1;16;103;0;30a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;3;3;2;1;101.51;107.8;862.76;258.8271975;2.40; 6.13 ; C 507 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
112;10006;1;16;103;0;31a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;1;2;1;1;62.66;67.69;561.58;168.4726002;2.49; 3.99 ; I 714 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
113;10006;1;16;103;0;32a;5;3;2;2;3;1;5;1;1/03/2021; 30 ; 1 ;2;2;2;1;86.87;86.87;717.95;215.3835;2.48; 5.10 ; B 608 ;HIGH PARK;GRADECO CONSTRUCCIONES Y CIA S.A.;http://www.metrocuadrado.com/proyecto/high-park/1821-C0004-10
114;30005;3;88;86;0;5;6;3;2;2;2;0;1;1;14/09/2018; 0 ; 1 ;1;2;1;1;46.99;50.94;530.72;159.2145;3.13; 3.77 ; 301 ;CENIT DE LA CABRERA;COLOMBIANA DE EDIFICACIONES SAS;http://www.metrocuadrado.com/proyecto/cenit-de-la-cabrera/3457-C00001-23
115;30005;3;88;86;0;5;6;3;2;2;2;0;1;1;14/09/2018; 0 ; 1 ;3;5;3;1;244.93;261.72;3183.00;954.8994;3.65; 22.60 ; 11 01 ;CENIT DE LA CABRERA;COLOMBIANA DE EDIFICACIONES SAS;http://www.metrocuadrado.com/proyecto/cenit-de-la-cabrera/3457-C00001-23
116;30005;3;88;86;0;5;6;3;2;2;2;0;1;1;14/09/2018; 0 ; 1 ;2;3;2;0;65.03;70.55;708.78;212.634;3.01; 5.03 ; 302 ;CENIT DE LA CABRERA;COLOMBIANA DE EDIFICACIONES SAS;http://www.metrocuadrado.com/proyecto/cenit-de-la-cabrera/3457-C00001-23
117;30005;3;88;86;0;5;6;3;2;2;2;0;1;1;14/09/2018; 0 ; 1 ;2;2;2;0;65.95;71.81;809.91;242.9727;3.38; 5.75 ; 902 ;CENIT DE LA CABRERA;COLOMBIANA DE EDIFICACIONES SAS;http://www.metrocuadrado.com/proyecto/cenit-de-la-cabrera/3457-C00001-23
118;30005;3;88;86;0;5;6;3;2;2;2;0;1;1;14/09/2018; 0 ; 1 ;2;2;2;0;69.44;56.98;643.29;192.99;3.39;4.57; 303 ;CENIT DE LA CABRERA;COLOMBIANA DE EDIFICACIONES SAS;http://www.metrocuadrado.com/proyecto/cenit-de-la-cabrera/3457-C00001-23
119;30005;3;88;86;0;5;6;3;2;2;2;0;1;1;14/09/2018; 0 ; 1 ;1;2;1;0;56.98;62.13;643.29;192.99;3.11;4.57; 805 ;CENIT DE LA CABRERA;COLOMBIANA DE EDIFICACIONES SAS;http://www.metrocuadrado.com/proyecto/cenit-de-la-cabrera/3457-C00001-23
120;30005;3;88;86;0;5;6;3;2;2;2;0;1;1;14/09/2018; 0 ; 1 ;1;2;1;0;56.98;62.13;654.57;196.37;3.16;4.65; 905 ;CENIT DE LA CABRERA;COLOMBIANA DE EDIFICACIONES SAS;http://www.metrocuadrado.com/proyecto/cenit-de-la-cabrera/3457-C00001-23
121;30005;3;88;86;0;5;6;3;2;2;2;0;1;1;14/09/2018; 0 ; 1 ;1;2;1;0;44.34;48.04;492.00;147.60;3.07;3.49; 506 ;CENIT DE LA CABRERA;COLOMBIANA DE EDIFICACIONES SAS;http://www.metrocuadrado.com/proyecto/cenit-de-la-cabrera/3457-C00001-23
122;30005;3;88;86;0;5;6;3;2;2;2;0;1;1;14/09/2018; 0 ; 1 ;3;5;3;1;189.62;202.58;2176.94;653.08;3.22;15.46; 10 01 ;CENIT DE LA CABRERA;COLOMBIANA DE EDIFICACIONES SAS;http://www.metrocuadrado.com/proyecto/cenit-de-la-cabrera/3457-C00001-23
123;30005;3;88;86;0;5;6;3;2;2;2;0;1;1;14/09/2018; 0 ; 1 ;4;3;2;0;114.44;123.34;1340.27;402.08;3.26;9.52; 701 ;CENIT DE LA CABRERA;COLOMBIANA DE EDIFICACIONES SAS;http://www.metrocuadrado.com/proyecto/cenit-de-la-cabrera/3457-C00001-23
124;30005;3;88;86;0;5;6;3;2;2;2;0;1;1;14/09/2018; 0 ; 1 ;2;3;2;0;83.53;76.81;895.00;268.50;3.50;6.35; 508 ;CENIT DE LA CABRERA;COLOMBIANA DE EDIFICACIONES SAS;http://www.metrocuadrado.com/proyecto/cenit-de-la-cabrera/3457-C00001-23
125;30005;3;88;86;0;5;6;3;2;2;2;0;1;1;14/09/2018; 0 ; 1 ;2;3;2;0;73.52;80.01;750.00;225.00;2.81;5.32; 605 ;CENIT DE LA CABRERA;COLOMBIANA DE EDIFICACIONES SAS;http://www.metrocuadrado.com/proyecto/cenit-de-la-cabrera/3457-C00001-23
126;20003;2;19;128A;0;54B;4;3;2;2;3;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;62.36;69.52;325.00;97.50;1.40;2.31; 1 ;MIRADOR DE CORDOBA;PEDRO GOMEZ;http://www.metrocuadrado.com/proyecto/mirador-de-cordoba/733-C0002-02
127;20003;2;19;128A;1;54B;4;3;2;2;3;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;62.32;70.01;318.60;95.58;1.37;2.26; 1A ;MIRADOR DE CORDOBA;PEDRO GOMEZ;http://www.metrocuadrado.com/proyecto/mirador-de-cordoba/733-C0002-02
128;20003;2;19;128A;2;54B;4;3;2;2;3;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;71.13;79.26;340.40;102.12;1.29;2.42; 2 ;MIRADOR DE CORDOBA;PEDRO GOMEZ;http://www.metrocuadrado.com/proyecto/mirador-de-cordoba/733-C0002-02
129;20003;2;19;128A;3;54B;4;3;2;2;3;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;79.71;89.21;401.20;120.36;1.35;2.85; 3B ;MIRADOR DE CORDOBA;PEDRO GOMEZ;http://www.metrocuadrado.com/proyecto/mirador-de-cordoba/733-C0002-02
130;10007;1;13;145;0;17;4;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;3;2;1;97.54;103.61;536.26;160.88;1.55;3.81; 1 ;MIRADOR DE ARMONIA;CICO CONSTRUCCIONES;http://www.metrocuadrado.com/proyecto/mirador-de-armonia/5437-C00001-04
131;10007;1;13;145;0;17;4;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;3;2;1;96.00;102.00;519.99;156.00;1.53;3.69; 2 ;MIRADOR DE ARMONIA;CICO CONSTRUCCIONES;http://www.metrocuadrado.com/proyecto/mirador-de-armonia/5437-C00001-04
132;10007;1;13;145;0;17;4;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;2;2;1;1;78.50;84.20;415.02;124.51;1.48;2.95; 3 ;MIRADOR DE ARMONIA;CICO CONSTRUCCIONES;http://www.metrocuadrado.com/proyecto/mirador-de-armonia/5437-C00001-04
133;60003;6;51;64A;1;13B-ESTE;3;3;2;1;3;1;0;0;1/03/2021; 30 ; 1 ;2;1;0;0;37.50;41.00;84.00;25.20;0.61;0.60; 41 ;MIRADOR DEL ESTE 3;CONSTRUCTORA BOLIVAR;http://www.metrocuadrado.com/proyecto/mirador-del-este-3/1614-C00005-01
134;60003;6;51;65A;1;13B-ESTE;3;3;2;1;3;1;0;0;1/03/2021; 30 ; 1 ;3;1;0;0;44.50;49.00;91.30;27.39;0.56;0.65; 49 ;MIRADOR DEL ESTE 3;CONSTRUCTORA BOLIVAR;http://www.metrocuadrado.com/proyecto/mirador-del-este-3/1614-C00005-01
135;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;68.74;74.37;297.20;89.16;1.20;2.11; 207-A7 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
136;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;68.74;74.37;297.20;89.16;1.20;2.11; 208-A7 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
137;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;68.73;74.37;297.20;89.16;1.20;2.11; 209-17 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
138;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;68.70;74.95;297.20;89.16;1.19;2.11; 212-A7 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
139;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;68.70;74.95;297.20;89.16;1.19;2.11; 2014-A7 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
140;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;71.01;77.01;301.50;90.45;1.17;2.14; 217-A7 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
141;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;68.74;74.37;299.30;89.79;1.21;2.12; 307-A7 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
142;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;2;2;1;0;60.96;67.80;280.70;84.21;1.24;1.99; 311-A3 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
143;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;68.70;74.95;299.30;89.79;1.20;2.12; 312-A7 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
144;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;68.70;74.95;299.30;89.79;1.20;2.12; 312-A7 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
145;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;68.70;74.96;299.30;89.79;1.20;2.12; 314-A7 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
146;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;70.56;76.53;304.10;91.23;1.19;2.16; 320-A1 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
147;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;68.70;74.95;300.10;90.03;1.20;2.13; 412-A7 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
148;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;68.73;74.37;300.90;90.27;1.21;2.14; 609-A7 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
149;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;2;2;1;0;60.96;67.80;296.70;89.01;1.31;2.11; 612-A3 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
150;20003;2;24;130;0;58A;3;3;3;2;2;1;1;1;14/09/2018; 0 ; 1 ;3;2;1;0;68.74;74.75;305.70;91.71;1.23;2.17; 616-A6 ;FORTE LA QUINTA;PROKSOL SAS;http://www.metrocuadrado.com/proyecto/forte-la-quinta/787-C0002-10
151;20004;2;24;151;0;58;4;2;2;2;2;1;4;0;14/09/2018; 0 ; 1 ;3;4;3;1;136.00;151.00;801.91;240.57;1.59;5.69; 151 ;ROSSETTI;CUSEZAR;http://www.metrocuadrado.com/proyecto/rossetti/1631-C00006-03
152;20004;2;24;151;0;58;4;2;2;2;2;1;4;0;14/09/2018; 0 ; 1 ;3;3;2;1;108.00;126.00;718.15;215.45;1.71;5.10; 126 ;ROSSETTI;CUSEZAR;http://www.metrocuadrado.com/proyecto/rossetti/1631-C00006-03
153;30006;3;91;32;0;5;4;2;3;2;3;0;6;1;1/09/2019; 12 ; 1 ;1;1;0;0;25.61;29.10;230.00;69.00;2.37;1.63; 1421-61A ;LA QUINTA;PRABYC INGENIEROS SAS;http://www.metrocuadrado.com/proyecto/la-quinta/184-C0009-16
154;30006;3;91;32;0;5;4;2;3;2;3;0;6;1;1/09/2019; 12 ; 1 ;1;1;0;0;29.92;34.00;275.79;82.74;2.43;1.96; 221-16 ;LA QUINTA;PRABYC INGENIEROS SAS;http://www.metrocuadrado.com/proyecto/la-quinta/184-C0009-16
155;30006;3;91;32;0;5;4;2;3;2;3;0;6;1;1/09/2019; 12 ; 1 ;1;1;0;1;30.35;34.49;283.20;84.96;2.46;2.01; 416-15 ;LA QUINTA;PRABYC INGENIEROS SAS;http://www.metrocuadrado.com/proyecto/la-quinta/184-C0009-16
156;30006;3;91;32;0;5;4;2;3;2;3;0;6;1;1/09/2019; 12 ; 1 ;1;1;0;0;34.30;38.98;288.45;86.54;2.22;2.05; 412-11A ;LA QUINTA;PRABYC INGENIEROS SAS;http://www.metrocuadrado.com/proyecto/la-quinta/184-C0009-16
157;30006;3;91;32;0;5;4;2;3;2;3;0;6;1;1/09/2019; 12 ; 1 ;1;1;0;1;30.98;35.21;293.11;87.93;2.50;2.08; 407-6A ;LA QUINTA;PRABYC INGENIEROS SAS;http://www.metrocuadrado.com/proyecto/la-quinta/184-C0009-16
158;30006;3;91;32;0;5;4;2;3;2;3;0;6;1;1/09/2019; 12 ; 1 ;1;1;0;0;45.50;51.71;324.55;97.36;1.88;2.30; 903-31 ;LA QUINTA;PRABYC INGENIEROS SAS;http://www.metrocuadrado.com/proyecto/la-quinta/184-C0009-16
159;30006;3;91;32;0;5;4;2;3;2;3;0;6;1;1/09/2019; 12 ; 1 ;1;1;0;1;32.54;36.98;308.80;92.64;2.51;2.19; 409-8A ;LA QUINTA;PRABYC INGENIEROS SAS;http://www.metrocuadrado.com/proyecto/la-quinta/184-C0009-16
160;30006;3;91;32;0;5;4;2;3;2;3;0;6;1;1/09/2019; 12 ; 1 ;1;1;0;0;31.63;35.95;302.14;90.64;2.52;2.15; 206-5 ;LA QUINTA;PRABYC INGENIEROS SAS;http://www.metrocuadrado.com/proyecto/la-quinta/184-C0009-16
161;30006;3;91;32;0;5;4;2;3;2;3;0;6;1;1/09/2019; 12 ; 1 ;1;1;0;0;30.36;34.50;296.06;88.82;2.57;2.10; 330-25 ;LA QUINTA;PRABYC INGENIEROS SAS;http://www.metrocuadrado.com/proyecto/la-quinta/184-C0009-16
162;30006;3;91;32;0;5;4;2;3;2;3;0;6;1;1/09/2019; 12 ; 1 ;1;1;0;0;31.63;35.95;298.26;89.48;2.49;2.12; 306-5A ;LA QUINTA;PRABYC INGENIEROS SAS;http://www.metrocuadrado.com/proyecto/la-quinta/184-C0009-16
163;30006;3;91;32;0;5;4;2;3;2;3;0;6;1;1/09/2019; 12 ; 1 ;1;1;0;0;38.28;43.05;334.95;100.49;2.33;2.38; 1005-33A ;LA QUINTA;PRABYC INGENIEROS SAS;http://www.metrocuadrado.com/proyecto/la-quinta/184-C0009-16
164;30006;3;91;32;0;5;4;2;3;2;3;0;6;1;1/09/2019; 12 ; 1 ;1;2;0;0;41.00;46.68;378.72;113.62;2.43;2.69; 213-12 ;LA QUINTA;PRABYC INGENIEROS SAS;http://www.metrocuadrado.com/proyecto/la-quinta/184-C0009-16
165;30006;3;91;32;0;5;4;2;3;2;3;0;6;1;1/09/2019; 12 ; 1 ;1;1;0;0;30.20;34.42;300.83;90.25;2.62;2.14; 632-27 ;LA QUINTA;PRABYC INGENIEROS SAS;http://www.metrocuadrado.com/proyecto/la-quinta/184-C0009-16
166;10008;1;13;143;0;19A;4;3;3;2;1;1;0;1;1/03/2021; 30 ; 1 ;2;2;1;0;58.50;67.10;384.73;115.42;1.72;2.73; 1 ;BAMBU;BAMBU CONSTRUCCIONES SAS;http://www.metrocuadrado.com/proyecto/bambu/623-C0001-01
167;10008;1;13;143;0;20a;4;3;3;2;1;1;0;1;1/03/2021; 30 ; 1 ;2;2;1;0;54.30;59.20;342.26;102.68;1.73;2.43; 2 ;BAMBU;BAMBU CONSTRUCCIONES SAS;http://www.metrocuadrado.com/proyecto/bambu/623-C0001-01
168;10008;1;13;143;0;21a;4;3;3;2;1;1;0;1;1/03/2021; 30 ; 1 ;2;2;1;0;56.40;603.00;348.17;104.45;0.17;2.47; 3 ;BAMBU;BAMBU CONSTRUCCIONES SAS;http://www.metrocuadrado.com/proyecto/bambu/623-C0001-01
169;10008;1;13;143;0;22a;4;3;3;2;1;1;0;1;1/03/2021; 30 ; 1 ;2;2;1;0;48.20;51.70;301.94;90.58;1.75;2.14; 4 ;BAMBU;BAMBU CONSTRUCCIONES SAS;http://www.metrocuadrado.com/proyecto/bambu/623-C0001-01
170;10008;1;13;143;0;23a;4;3;3;2;1;1;0;1;1/03/2021; 30 ; 1 ;1;2;1;0;34.70;34.73;219.60;65.88;1.90;1.56; 5 ;BAMBU;BAMBU CONSTRUCCIONES SAS;http://www.metrocuadrado.com/proyecto/bambu/623-C0001-01
171;10008;1;13;143;0;24a;4;3;3;2;1;1;0;1;1/03/2021; 30 ; 1 ;3;3;2;0;110.70;119.50;690.43;207.13;1.73;4.90; 6 ;BAMBU;BAMBU CONSTRUCCIONES SAS;http://www.metrocuadrado.com/proyecto/bambu/623-C0001-01
172;10008;1;13;143;0;25a;4;3;3;2;1;1;0;1;1/03/2021; 30 ; 1 ;2;3;1;0;57.30;61.40;359.98;107.99;1.76;2.56; 7 ;BAMBU;BAMBU CONSTRUCCIONES SAS;http://www.metrocuadrado.com/proyecto/bambu/623-C0001-01
173;10008;1;13;143;0;26a;4;3;3;2;1;1;0;1;1/03/2021; 30 ; 1 ;2;3;2;0;70.20;74.60;456.21;136.86;1.83;3.24; 8 ;BAMBU;BAMBU CONSTRUCCIONES SAS;http://www.metrocuadrado.com/proyecto/bambu/623-C0001-01
174;20005;2;24;151;0;58C;4;2;2;2;2;1;5;0;1/09/2019; 12 ; 1 ;3;3;1;1;84.00;95.00;547.14;164.14;1.73;3.88; APARTAMENTO 95 ;KLIMT;CUSEZAR;http://www.metrocuadrado.com/proyecto/klimt/1631-C00010-04
175;20005;2;24;151;0;58C;4;2;2;2;2;1;5;0;1/09/2019; 12 ; 1 ;1;1;1;1;36.00;40.00;252.97;75.89;1.90;1.80; APARTAESTUDIO 40 ;KLIMT;CUSEZAR;http://www.metrocuadrado.com/proyecto/klimt/1631-C00010-05
176;20005;2;24;151;0;58C;4;2;2;2;2;1;5;0;1/09/2019; 12 ; 1 ;1;2;1;1;54.46;60.00;375.58;112.67;1.88;2.67; DUPLEX 60 ;KLIMT;CUSEZAR;http://www.metrocuadrado.com/proyecto/klimt/1631-C00010-06
177;20005;2;24;151;0;58C;4;2;2;2;2;1;5;0;1/09/2019; 12 ; 1 ;3;2;2;1;76.23;84.70;555.63;166.69;1.97;3.94; APARTAMENTO 84 ;KLIMT;CUSEZAR;http://www.metrocuadrado.com/proyecto/klimt/1631-C00010-07
178;20005;2;24;151;0;58C;4;2;2;2;2;1;5;0;1/09/2019; 12 ; 1 ;3;3;2;1;88.81;100.93;566.18;169.85;1.68;4.02; APARTAMENTO 100,93 ;KLIMT;CUSEZAR;http://www.metrocuadrado.com/proyecto/klimt/1631-C00010-08
